|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
12|1|1|1|Chickpet|152|15|245|17
26|2|2|2|Donne|263|15|323|20
38|0|3|3|Birya|335|15|406|15
17|3|5|5|GST|173|48|205|49
23|4|6|6|NO|224|48|247|51
30|5|4|4|33ABAFR6268G1Z6|287|48|481|45
19|6|8|8|Mobile|199|82|276|83
33|7|7|7|9344460546|316|82|448|82
18|8|9|9|Phone-|199|98|263|99
31|10|10|10|044|287|98|328|102
40|9|11|11|49524234|345|98|450|102
25|11|12|12|Cash|263|135|314|136
35|12|13|13|Bil1|329|135|378|138
14|13|14|14|Receipt:|158|148|259|150
29|14|15|15|CH-OFB-1911-2863|277|148|493|156
16|15|16|16|Feb|164|168|200|169
22|16|17|17|03,|211|168|250|171
27|17|18|18|2020|269|168|320|173
37|18|19|19|at|335|168|359|175
41|19|20|20|02:14|376|168|444|177
43|20|21|21|PM|460|168|487|177
7|21|23|23|ITEM|33|200|79|201
36|22|24|24|QTY|335|212|373|213
47|23|22|22|PRICE|515|212|591|217
6|24|25|25|Kid's|27|237|89|239
9|25|26|26|Combo|101|237|169|242
5|27|27|27|Chicken|21|251|115|259
11|29|28|28|Combo|129|251|196|263
39|26|41|41|1.|335|251|342|251
49|28|36|36|200.00|515|251|609|259
21|30|29|29|4|211|264|224|264
4|31|30|30|Chicken|21|274|114|278
10|33|31|31|Combo|129|274|195|282
20|34|32|32|2|211|274|222|283
48|32|37|37|230.00|515|274|610|280
3|35|33|33|Orange|21|293|99|297
46|36|38|38|220.00|515|293|610|300
2|37|34|34|Fresh|21|312|85|315
8|38|35|35|Lime|101|312|151|320
50|39|39|39|180.00|522|312|610|323
51|40|40|40|60.00|533|340|610|344
0|41|42|42|Subtotal|21|350|121|356
1|42|43|43|Total|21|370|80|373
45|43|44|44|890.00|515|381|609|388
44|44|45|45|890.00|515|402|609|409
15|45|46|46|Thank|158|414|226|419
24|46|47|47|You.|244|414|311|423
34|47|48|48|Visit|316|414|380|428
42|48|49|49|Again.|401|429|475|435
13|49|50|50|Receipts|152|452|260|460
28|50|51|51|by|277|452|301|460
32|51|52|52|SlickPOS.com|316|452|481|474
