|Word_Count|Word|X1|Y1|X2|Y2
1|1|Chickpet|152|17|245|17
2|2|Donne|263|20|323|20
3|3|Birya|337|15|406|15
4|4|33ABAFR6268G1Z6|287|50|481|45
5|5|GST|173|48|205|49
6|6|NO|224|50|247|51
7|7|9344460546|318|83|448|82
8|8|Mobile|201|82|276|83
9|9|Phone-|199|98|263|99
10|10|044|291|101|328|102
11|11|49524234|345|100|450|102
12|12|Cash|263|135|314|136
13|13|Bil1|329|137|378|138
14|14|Receipt:|158|148|259|150
15|15|CH-OFB-1911-2863|279|151|493|156
16|16|Feb|164|168|200|169
17|17|03,|216|170|250|171
18|18|2020|269|172|320|173
19|19|at|336|174|359|175
20|20|02:14|376|175|444|177
21|21|PM|460|176|487|177
22|22|PRICE|518|216|591|217
23|23|ITEM|33|200|79|201
24|24|QTY|335|212|373|213
25|25|Kid's|27|237|89|239
26|26|Combo|104|240|169|242
27|27|Chicken|26|255|115|259
28|28|Combo|129|260|196|263
29|29|4|212|264|224|264
30|30|Chicken|25|274|114|278
31|31|Combo|129|279|195|282
32|32|2|211|283|222|283
33|33|Orange|24|293|99|297
34|34|Fresh|24|312|85|315
35|35|Lime|101|317|151|320
36|36|200.00|518|256|609|259
37|37|230.00|518|276|610|280
38|38|220.00|518|297|610|300
39|39|180.00|522|318|610|323
40|40|60.00|533|340|610|344
41|41|1.|338|251|342|251
42|42|Subtotal|21|350|121|356
43|43|Total|22|370|80|373
44|44|890.00|516|381|609|388
45|45|890.00|515|402|609|409
46|46|Thank|162|414|226|419
47|47|You.|244|418|311|423
48|48|Visit|320|423|380|428
49|49|Again.|401|429|475|435
50|50|Receipts|153|452|260|460
51|51|by|277|458|301|460
52|52|SlickPOS.com|316|461|481|474
